pair,seed,method,stage,w2,wall_s,nfe,params
circle->moons,1,dsb,9,0.3559414744377136,32.814728084005765,20,446724
circle->moons,2,untransported,0,1.2567079067230225,0.0,0,0
circle->moons,2,sinkhorn-eps0.5,500,1.1906218528747559,1.9891257920098724,0,0
circle->moons,2,sinkhorn-eps0.1,500,1.1778926849365234,1.9802809579996392,0,0
circle->moons,2,sinkhorn-eps0.03,500,1.0796282291412354,1.9845320419990458,0,0
circle->moons,2,bridge-matching-sde,10,0.12361543625593185,8.043730083008995,10,223362
circle->moons,2,bridge-matching-ode,10,0.26150277256965637,8.043730083008995,10,223362
circle->moons,2,bridge-matching-sde,50,0.04511941224336624,8.043730083008995,50,223362
circle->moons,2,bridge-matching-ode,50,0.1802968978881836,8.043730083008995,50,223362
circle->moons,2,bridge-matching-sde,100,0.048420730978250504,8.043730083008995,100,223362
circle->moons,2,bridge-matching-ode,100,0.1744353175163269,8.043730083008995,100,223362
circle->moons,2,dsb,0,0.60652756690979,3.279740925000806,20,446724
circle->moons,2,dsb,1,0.46551328897476196,6.559481850001612,20,446724
circle->moons,2,dsb,2,0.3738936483860016,9.839222775002417,20,446724
circle->moons,2,dsb,3,0.47617247700691223,13.118963700003224,20,446724
circle->moons,2,dsb,4,0.3495834767818451,16.39870462500403,20,446724
circle->moons,2,dsb,5,0.3631725609302521,19.678445550004835,20,446724
circle->moons,2,dsb,6,0.391645610332489,22.95818647500564,20,446724
circle->moons,2,dsb,7,0.40040990710258484,26.23792740000645,20,446724
circle->moons,2,dsb,8,0.3815113604068756,29.517668325007254,20,446724
circle->moons,2,dsb,9,0.33872920274734497,32.79740925000806,20,446724
